id,linenumber,opath,lng,lat,t
00001,1,85398,114.329310549,22.6670983318,19-02-01 05:26:15
00001,2,25952,114.325207603,22.6765567217,19-02-01 05:31:21
00001,3,73424,114.324135724,22.6791021056,19-02-01 05:31:48
00001,4,56412,114.323543361,22.6807353629,19-02-01 05:32:14
00001,5,67985,114.332590938,22.6977750937,19-02-01 05:38:51
00001,6,57962,114.3326594,22.6979056,19-02-01 05:39:54
00001,7,32020,114.32119359,22.7033340812,19-02-01 05:42:09
00001,8,57979,114.314132772,22.7082053212,19-02-01 05:44:33
00001,9,31972,114.305127214,22.7133722015,19-02-01 05:46:12
00001,10,31835,114.302515389,22.7177048228,19-02-01 05:46:48
00001,11,15833,114.295809553,22.722369689,19-02-01 05:48:18
00001,12,79705,114.285053071,22.7272184135,19-02-01 05:51:36
00001,13,79710,114.283726803,22.727625547,19-02-01 05:52:03
00001,14,65987,114.272437827,22.7317059005,19-02-01 05:55:30
00001,15,39255,114.268563836,22.7297420497,19-02-01 05:57:00
00001,16,73074,114.267222659,22.7289217544,19-02-01 05:57:18
00001,17,25133,114.25858814,22.7238257418,19-02-01 06:00:36
00001,18,25152,114.256784848,22.7228510978,19-02-01 06:00:54
00001,19,69877,114.247714952,22.720711612,19-02-01 06:04:03
00001,20,46374,114.245021777,22.7250202454,19-02-01 06:08:06
00001,21,85292,114.242193532,22.7263904277,19-02-01 06:09:36
00001,22,85294,114.240693163,22.7250192755,19-02-01 06:10:30
00001,23,65288,114.22706697,22.7222985992,19-02-01 06:15:09
00001,24,4731,114.219613681,22.7221931636,19-02-01 06:17:51
00001,25,55506,114.213485403,22.7191766225,19-02-01 06:21:54
00001,26,65166,114.213331454,22.7149752024,19-02-01 06:23:15
00001,27,65166,114.213344399,22.7140295709,19-02-01 06:23:51
00001,28,57229,114.215581685,22.7078302134,19-02-01 06:26:42
00001,29,65764,114.219476474,22.7064937068,19-02-01 06:27:45
00001,30,65774,114.22087251,22.7052745481,19-02-01 06:28:48
